"Country","Province","Date","Retail_Recreation","Grocery_Pharmarcy","Parks","Transit_Stations","Workplaces","Residential"
"Netherlands","Friesland",2020-02-15,-7,-3,10,3,0,0
"Netherlands","Friesland",2020-02-16,-19,-19,-48,-16,-4,2
"Netherlands","Friesland",2020-02-17,0,-2,21,-16,-23,3
"Netherlands","Friesland",2020-02-18,5,-2,32,-21,-23,3
"Netherlands","Friesland",2020-02-19,2,-5,30,-17,-23,2
"Netherlands","Friesland",2020-02-20,0,-4,6,-19,-24,3
"Netherlands","Friesland",2020-02-21,-1,-2,32,-9,-24,2
"Netherlands","Friesland",2020-02-22,0,1,11,8,-4,1
"Netherlands","Friesland",2020-02-23,5,0,-21,1,-1,1
"Netherlands","Friesland",2020-02-24,-7,-6,10,-1,-4,2
"Netherlands","Friesland",2020-02-25,5,8,37,4,4,0
"Netherlands","Friesland",2020-02-26,2,7,26,3,5,0
"Netherlands","Friesland",2020-02-27,2,3,10,-1,4,1
"Netherlands","Friesland",2020-02-28,1,6,29,12,4,0
"Netherlands","Friesland",2020-02-29,-1,4,14,9,2,1
"Netherlands","Friesland",2020-03-01,7,6,12,12,3,0
"Netherlands","Friesland",2020-03-02,-6,0,1,-2,4,1
"Netherlands","Friesland",2020-03-03,2,4,37,-1,3,0
"Netherlands","Friesland",2020-03-04,4,4,35,2,4,0
"Netherlands","Friesland",2020-03-05,4,1,17,0,3,0
"Netherlands","Friesland",2020-03-06,-1,4,31,8,4,0
"Netherlands","Friesland",2020-03-07,12,2,72,24,3,-1
"Netherlands","Friesland",2020-03-08,9,4,9,12,1,1
"Netherlands","Friesland",2020-03-09,-1,3,24,3,4,0
"Netherlands","Friesland",2020-03-10,-7,1,1,-4,2,1
"Netherlands","Friesland",2020-03-11,2,5,40,0,3,0
"Netherlands","Friesland",2020-03-12,-6,13,3,-4,2,2
"Netherlands","Friesland",2020-03-13,-13,21,31,-11,-5,4
"Netherlands","Friesland",2020-03-14,-14,5,59,-6,-3,5
"Netherlands","Friesland",2020-03-15,-26,6,28,-14,-9,5
"Netherlands","Friesland",2020-03-16,-22,13,51,-37,-33,11
"Netherlands","Friesland",2020-03-17,-29,2,46,-47,-40,13
"Netherlands","Friesland",2020-03-18,-35,-1,26,-49,-40,14
"Netherlands","Friesland",2020-03-19,-36,-5,31,-50,-43,15
"Netherlands","Friesland",2020-03-20,-43,-6,20,-50,-40,15
"Netherlands","Friesland",2020-03-21,-46,-11,39,-35,-19,11
"Netherlands","Friesland",2020-03-22,-53,-17,29,-39,-25,8
"Netherlands","Friesland",2020-03-23,-32,-9,19,-55,-44,15
"Netherlands","Friesland",2020-03-24,-39,-15,34,-54,-47,16
"Netherlands","Friesland",2020-03-25,-42,-17,52,-51,-45,15
"Netherlands","Friesland",2020-03-26,-43,-18,32,-54,-47,17
"Netherlands","Friesland",2020-03-27,-48,-19,40,-54,-43,16
"Netherlands","Friesland",2020-03-28,-52,-21,17,-44,-22,12
"Netherlands","Friesland",2020-03-29,-57,-28,-11,-51,-28,9
"Netherlands","Friesland",2020-03-30,-40,-22,8,-59,-47,16
"Netherlands","Friesland",2020-03-31,-37,-18,63,-53,-47,16
"Netherlands","Friesland",2020-04-01,-42,-18,19,-55,-45,15
"Netherlands","Friesland",2020-04-02,-43,-19,14,-59,-47,17
"Netherlands","Friesland",2020-04-03,-46,-17,29,-56,-43,16
"Netherlands","Friesland",2020-04-04,-47,-18,58,-33,-21,11
"Netherlands","Friesland",2020-04-05,-44,-15,83,-27,-24,6
"Netherlands","Friesland",2020-04-06,-30,-17,61,-53,-45,14
"Netherlands","Friesland",2020-04-07,-31,-13,84,-49,-46,14
"Netherlands","Friesland",2020-04-08,-34,-13,99,-43,-43,13
"Netherlands","Friesland",2020-04-09,-34,-8,64,-48,-45,14
"Netherlands","Friesland",2020-04-10,-39,-9,72,-49,-50,15
"Netherlands","Friesland",2020-04-11,-41,-5,106,-25,-17,9
"Netherlands","Friesland",2020-04-12,-61,-58,96,-24,-21,6
"Netherlands","Friesland",2020-04-13,-52,-43,36,-67,-84,23
"Netherlands","Friesland",2020-04-14,-37,-14,32,-52,-44,14
"Netherlands","Friesland",2020-04-15,-35,-14,69,-45,-41,13
"Netherlands","Friesland",2020-04-16,-35,-14,62,-46,-42,14
"Netherlands","Friesland",2020-04-17,-41,-13,75,-48,-39,13
"Netherlands","Friesland",2020-04-18,-42,-14,93,-25,-13,9
"Netherlands","Friesland",2020-04-19,-42,-15,91,-24,-15,6
"Netherlands","Friesland",2020-04-20,-25,-12,59,-48,-42,13
